Source,Target,Export,Import,Diplomatic,War,Border,International Cases,Treaties,Exchange Rate,Religion_conflicts,,
Afghanistan,Jamaica,5320,21300,0,0,0,0,0,0.525271295,1,,
Afghanistan,Japan,992000,69700000,1,0,0,0,0,0.734363038,1,,
Afghanistan,Jordan,3850000,1490000,1,0,0,0,0,108.2566123,1,,
Afghanistan,Kazakhstan,4080000,627000000,1,0,0,0,0,0.179104269,1,,
Afghanistan,Kenya,21200,117000000,0,0,0,0,0,0.70252913,1,,
Afghanistan,Kiribati,0,0,0,0,0,0,0,56.15118571,1,,
Afghanistan,Kosovo,0,0,0,0,0,0,0,90.974635,1,,
Afghanistan,Kuwait,419000,394000,1,0,0,0,0,250.8994495,1,,
Afghanistan,Kyrgyzstan,20800,2020000,1,0,0,0,0,0.90507098,0,,
Afghanistan,Laos,2520,0,1,0,0,0,0,0.00830071,1,,
Afghanistan,Latvia,987000,2280000,1,0,0,0,0,90.974635,1,,
Afghanistan,Lebanon,1640000,3580000,1,0,0,0,0,0.050885002,1,,
Afghanistan,Lesotho,0,0,0,0,0,0,0,5.002556964,1,,
Afghanistan,Liberia,0,0,0,0,0,0,0,0.488860515,1,,
Afghanistan,Libya,0,19400000000,0,0,0,0,0,56.44032439,0,,
Afghanistan,Liechtenstein,0,0,0,0,0,0,0,84.09522511,1,,
Afghanistan,Lithuania,16700,9660000,0,0,0,0,0,90.974635,1,,
Afghanistan,Luxembourg,0,0,0,0,0,0,0,90.974635,1,,
Afghanistan,Madagascar,4130,52700,0,0,0,0,0,0.01944189,1,,
Afghanistan,Malawi,1250,5690,0,0,0,0,0,0.101478279,1,,
Afghanistan,Malaysia,1450000,355000000,1,0,0,0,0,18.69926872,1,,
Afghanistan,Maldives,2520,47700,1,0,0,0,0,4.999946414,0,,
Afghanistan,Mali,18000,28700,0,0,0,0,0,0.13876966,1,,
Afghanistan,Malta,1350,4410000,0,0,0,0,0,90.974635,1,,
Afghanistan,Marshall-Islands,4590000,0,0,0,0,0,0,76.75118259,1,,
Afghanistan,Mauritania,21600,335000,0,0,0,0,0,0.214989062,0,,
Afghanistan,Mauritius,2510,264000,0,0,0,0,0,1.916394094,1,,
Afghanistan,Mexico,8550000,248000,1,0,0,0,0,3.781835461,1,,
Afghanistan,Micronesia,0,0,0,0,0,0,0,76.75118259,1,,
Afghanistan,Moldova,173000,59800,0,0,0,0,0,4.499878593,0,,
Afghanistan,Monaco,0,0,0,0,0,0,0,90.974635,1,,
Afghanistan,Mongolia,1810,48000,1,0,0,0,0,0.027088468,1,,
Afghanistan,Montenegro,9240,92000,0,0,0,0,0,90.974635,0,,
Afghanistan,Morocco,79400,141000,0,0,0,0,0,8.410515317,0,,
Afghanistan,Mozambique,629000,1410000,0,0,0,0,0,1.043878686,1,,
Afghanistan,Myanmar,1950000,125000,1,0,0,0,0,0.059375803,1,,
Afghanistan,Namibia,0,0,0,0,0,0,0,5.002556964,1,,
Afghanistan,Nauru,0,0,0,0,0,0,0,56.15118571,1,,
Afghanistan,Nepal,6090,9150000,1,0,0,0,0,0.646118065,1,,
Afghanistan,Netherlands,3700000,39800000,1,0,0,0,0,90.974635,0,,
Afghanistan,New-Zealand,238000,2610000,0,0,0,0,0,52.93294493,1,,
Afghanistan,Nicaragua,4790,1990,0,0,0,0,0,2.208200621,1,,
Afghanistan,Niger,1380,1960,0,0,0,0,0,0.13876966,0,,
Afghanistan,Nigeria,247000,26000,0,0,0,0,0,0.199483164,1,,
Afghanistan,North-Korea,40800000,0,1,0,0,0,0,0.085273687,0,,
Afghanistan,macedonia,1390,43100,0,0,0,0,0,1.477337711,1,,
Afghanistan,Norway,140000,1640000,1,0,0,0,0,8.454080106,1,,
Afghanistan,Oman,3990,4440000,1,0,0,0,0,199.3532034,1,,
Afghanistan,Pakistan,518000000,1670000000,1,1,0,0,0,0.487031826,1,,
Afghanistan,Palau,0,0,0,0,0,0,0,76.75118259,1,,
Afghanistan,Palestine,17600,0,1,0,0,0,0,22.78532171,1,,
Afghanistan,Panama,0,19400000000,0,0,0,0,0,76.75118259,1,,
Afghanistan,Papua-New-Guinea,1120,2920000,0,0,0,0,0,21.63929207,1,,
Afghanistan,Paraguay,2570000,30000,0,0,0,0,0,0.010935085,1,,
Afghanistan,Peru,18000,24300,0,0,0,0,0,21.11976037,1,,
Afghanistan,Philippines,5210,6400000,1,0,0,0,0,1.590203569,1,,
Afghanistan,Poland,1490000,9580000,1,1,0,0,0,20.27638738,1,,
Afghanistan,Portugal,126000,211000,0,0,0,0,0,90.974635,1,,
Afghanistan,Qatar,10800,2310000,1,0,0,0,0,21.19626762,1,,
Afghanistan,Romania,304000,334000,0,1,0,0,0,18.68063088,0,,
Afghanistan,Russia,4050000,166000000,1,0,0,0,0,1.005784408,0,,
Afghanistan,Rwanda,4070,5370,0,0,0,0,0,0.077903981,1,,
Afghanistan,st-kitts-nevis,2350,15600,0,0,0,0,0,28.39954979,1,,
Afghanistan,Saint-Lucia,6190,0,0,0,0,0,0,28.39954979,1,,
Afghanistan,st-vincent-grenadines,11600,0,0,0,0,0,0,28.39954979,1,,
Afghanistan,Samoa,0,0,0,0,0,0,0,29.84843757,1,,
Afghanistan,San-Marino,0,0,0,0,0,0,0,90.974635,1,,
Afghanistan,sao-tome-principe,0,0,0,0,0,0,0,0.003649275,1,,
Afghanistan,Saudi-Arabia,9490000,7990000,1,0,0,0,0,20.46382494,1,,
Afghanistan,Senegal,213000,3410,0,0,0,0,0,0.13876966,1,,
Afghanistan,Serbia,10900,392000,0,0,0,0,0,0.774089601,0,,
Afghanistan,Seychelles,37800,3100,0,0,0,0,0,3.734851417,2,,
Afghanistan,Sierra-Leone,0,0,0,0,0,0,0,0.007682803,1,,
Afghanistan,Singapore,1600000,23000000,1,0,0,0,0,57.0755345,1,,
Afghanistan,Slovakia,53000,3860000,0,0,0,0,0,90.974635,1,,
Afghanistan,Slovenia,25500,579000,0,0,0,0,0,90.974635,1,,
Afghanistan,Solomon-Islands,0,0,0,0,0,0,0,9.473901393,1,,
Afghanistan,Somalia,0,0,0,0,0,0,0,0.131648676,0,,
Afghanistan,South-Africa,566000,4990000,0,0,0,0,0,5.002556964,1,,
Afghanistan,South-Korea,0,0,1,0,0,0,0,0.069374607,1,,
Afghanistan,South-Sudan,0,19400000000,0,0,0,0,0,1.387279395,1,,
Afghanistan,Spain,757000,8570000,1,0,0,0,0,90.974635,1,,
Afghanistan,Sri-Lanka,102000,353000,1,0,0,0,0,0.415709336,2,,
Afghanistan,Sudan,3410,178000,0,0,0,0,0,1.387279395,1,,
Afghanistan,Suriname,6480,23000,0,0,0,0,0,5.422581586,1,,
Afghanistan,Sweden,275000,10100000,1,0,0,0,0,8.89870122,1,,
Afghanistan,Switzerland,1450000,2650000,1,0,0,0,0,84.09522511,1,,
Afghanistan,Syria,1630000,1170000,1,0,0,0,0,0.149635915,1,,
Afghanistan,Taiwan,0,0,1,0,0,0,0,2.690617363,2,,
Afghanistan,Tajikistan,1820000,83200000,1,0,0,0,0,6.794721002,0,,
Afghanistan,Tanzania,75500,53800,0,0,0,0,0,0.033096679,2,,
Afghanistan,Thailand,379000,35000000,1,0,0,0,0,2.5413045,1,,
Afghanistan,East-Timor,98800,0,1,0,0,0,0,76.75118259,1,,
Afghanistan,Togo,2300,0,0,0,0,0,0,0.13876966,1,,
Afghanistan,Tonga,0,0,0,0,0,0,0,33.35527146,1,,
Afghanistan,Trinidad-Tobago,1770,998000,0,0,0,0,0,11.31800237,1,,
Afghanistan,Tunisia,4030,40200,0,0,0,0,0,27.88421056,0,,
Afghanistan,Turkey,19800000,154000000,1,1,0,0,0,9.972163877,1,,
Afghanistan,Turkmenistan,220000,323000000,1,0,0,0,0,27.88421056,0,,
Afghanistan,Tuvalu,0,0,0,0,0,0,0,56.15118571,1,,
Afghanistan,Uganda,17400,52100,0,0,0,0,0,0.020825496,1,,
Afghanistan,Ukraine,353000,8900000,1,0,0,0,0,2.737923744,0,,
Afghanistan,United-Arab-Emirates,120000000,1870000000,1,0,0,0,0,20.89488938,1,,
Afghanistan,United-Kingdom,3050000,40600000,1,1,0,0,0,101.408675,0,,
Afghanistan,United-States,22700000,564000000,1,0,0,0,0,76.75118259,2,,
Afghanistan,Uruguay,11200,176000,0,0,0,0,0,1.795600299,1,,
Afghanistan,Uzbekistan,2310000,479000000,1,0,0,0,0,0.007426993,0,,
Afghanistan,Vanuatu,1160,0,0,0,0,0,0,0.685361322,2,,
Afghanistan,vatican-city-state,0,0,0,0,0,0,0,90.974635,1,,
Afghanistan,Venezuela,599000,0,0,0,0,0,0,7.684724497,1,,
Afghanistan,Vietnam,462000,58900000,1,0,0,0,0,0.003313383,1,,
Afghanistan,Yemen,26400,159000,1,0,0,0,0,0.30657623,1,,
Afghanistan,Zambia,66900,1450,0,0,0,0,0,3.68187229,1,,
Afghanistan,Zimbabwe,1080,36200,0,0,0,0,0,0.238357825,1,,
Albania,Afghanistan,23360,46260,0,0,0,0,0,1.35915822,0,,
Albania,Algeria,24940,21240000,0,0,0,0,0,0.81182709,0,,
Albania,Andorra,4250,32,1,0,0,0,0,123.648923,1,,
Albania,Angola,48150,0,0,0,0,0,0,0.156539103,1,,
Albania,antigua-barbuda,909,123770,0,0,0,0,0,38.59948155,1,,
Albania,Argentina,43750,9490000,0,0,0,0,0,1.304372175,1,,
Albania,Armenia,11630,15280,1,0,0,0,0,0.210341984,0,,
Albania,Australia,1200000,1330000,0,0,0,0,0,76.31834563,1,,
Albania,Austria,18040000,61930000,1,0,0,0,1,123.648923,1,,
Albania,Azerbaijan,14830,9470,1,0,0,0,0,61.41455009,1,,
Albania,Bahamas,38590,24450,0,0,0,0,0,104.590451,1,,
Albania,Bahrain,48460,9460,0,0,0,0,0,276.7024634,1,,
Albania,Bangladesh,42940,10440000,0,0,0,0,0,1.233419003,1,,
Albania,Barbados,389,2840,0,0,0,0,0,51.80036556,1,,
Albania,Belarus,75070,119830,1,0,0,0,0,40.89744393,0,,
Albania,Belgium,3690000,33700000,1,0,0,0,0,123.648923,1,,
Albania,Belize,7840,9450,0,0,0,0,0,51.88727083,1,,
Albania,Benin,11510,39260,0,0,0,0,0,0.188609924,1,,
Albania,Bhutan,0,2760,0,0,0,0,0,1.400457005,2,,
Albania,Bolivia,298160,26570,0,0,0,0,0,15.16870073,1,,
Albania,bosnia-herzegovina,12980000,23680000,1,0,0,0,0,63.25649363,0,,
Albania,Botswana,689,0,0,0,0,0,0,9.423414107,1,,
Albania,Brazil,387940,39560000,1,0,0,0,0,19.25912589,1,,
Albania,Brunei,0,3140,0,0,0,0,0,77.64370679,1,,
Albania,Bulgaria,27210000,82630000,1,1,0,0,0,63.2375682,0,,
Albania,Burkina-Faso,0,0,0,0,0,0,0,0.188609924,1,,
Albania,Burundi,4230,89,0,0,0,0,0,0.054008432,1,,
Albania,Cape-Verde,0,3480,0,0,0,0,0,1.122014755,1,,
Albania,Cambodia,20830,2220000,0,0,0,0,0,0.025714696,1,,
Albania,Cameroon,19900,449770,0,0,0,0,0,0.188613105,1,,
Albania,Canada,1150000,33990000,1,0,0,0,0,79.75003676,1,,
Albania,central-african-republic,36330,2090,0,0,0,0,0,0.188613105,1,,
Albania,Chad,13820,1250,0,0,0,0,0,0.188613105,1,,
Albania,Chile,91820,410850,0,0,0,0,0,3755.244116,1,,
Albania,China,52740000,498570000,1,0,0,0,0,15.88673526,0,,
Albania,Colombia,5670,18140000,0,0,0,0,0,0.028623925,1,,
Albania,Comoros,4250,6400,0,0,0,0,0,0.251139391,0,,
Albania,congo,0,0,0,0,0,0,0,0.188613105,1,,
Albania,republic-congo,31990,35780,0,0,0,0,0,0.053006616,1,,
Albania,Costa-Rica,0,0,0,0,0,0,0,0.17062618,1,,
Albania,Ivory-Coast,486600,394100,0,0,0,0,0,0.188609924,1,,
Albania,Croatia,8770000,61900000,1,0,0,0,1,16.33987163,1,,
Albania,Cuba,0,224710,0,0,0,0,0,3.936491785,1,,
Albania,Cyprus,255670,2200000,1,0,0,0,0,123.648923,0,,
Albania,Czechia,0,0,0,0,0,0,1,4.677411213,1,,
Albania,Denmark,10250000,14700000,1,0,0,0,0,16.60187065,1,,
Albania,Djibouti,32050,397,0,0,0,0,0,0.587492284,0,,
Albania,Dominica,36900,794,0,0,0,0,0,38.59948155,1,,
Albania,dominican-republic,126640,109250,0,0,0,0,0,1.790904314,1,,
Albania,Ecuador,19970,23500000,0,0,0,0,0,104.3170007,1,,
Albania,Egypt,3250000,49840000,1,0,0,0,0,6.665412976,0,,
Albania,El-Salvador,833,9590,0,0,0,0,0,104.3170007,1,,
Albania,Equatorial-Guinea,31540,88570,0,0,0,0,0,0.188613105,1,,
Albania,Eritrea,0,1180,0,0,0,0,0,6.954656817,1,,
Albania,Estonia,8410000,1820000,1,0,0,0,0,123.648923,0,,
Albania,Eswatini,0,0,0,0,0,0,0,6.799184542,1,,
Albania,Ethiopia,18980,176040,0,0,0,0,0,2.766626417,0,,
Albania,Fiji,0,153,0,0,0,0,0,49.986608,2,,
